label,statement,subjects,domain,tone
barely-true,Under Barack Obama the U.S. now has the lowest workforce since (President Jimmy) Carter .,"economy,history,jobs,message-machine-2012",economy,emotional
half-true,A rural hospital in Missouri closes every 8 months . The legislatures failure to expand Medicaid has brought crisis to many of Missouris rural health care providers .,medicaid,health,emotional
pants-fire,Harambe received 15000 votes in the presidential election .,"elections,fake-news",politics,i
true,The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization .,abortion,social issues,neutral
false,Says Thom Tillis gives tax breaks to yacht and jet owners .,"message-machine-2014,taxes,wealth",taxes,neutral
false,During his time as House speaker unemployment came down from 5.6 percent to under 4 (percent).,"job-accomplishments,jobs",economy,neutral
half-true,Obamacare was the Republican plan in the early 90s .,health-care,health,answer
false,We had an amendment in the health care law that said the federal government is going to take over education .,"education,health-care",law,subjective
barely-true,(Assembly Democrats) wanted to raise the gas tax by $2.4 billion . We said no to that . Theyre down on the ground . Theyre sweating . Theyre twitching . Its ugly cause I keep saying no .,taxes,taxes,base
mostly-true,Says he turned down a Medicaid expansion under Obamacare but because of actions he took for the first time in Wisconsins history everyone living in poverty is covered under Medicaid .,"health-care,medicaid,poverty,public-health,state-budget",social issues,emotional
barely-true,Says Patrick Murphy switched his vote on All Aboard Florida . because his father tried to get in a bid to build it and was unsuccessful .,"congress,transportation",politics,emotional
barely-true,Says U.S. Sen Sherrod Brown promised that the first stimulus bill would fund the Brent Spence Bridge .,"infrastructure,stimulus",transportation,answer
barely-true,Tampa got more (federal housing) money because they scored higher on the blight scoring system so theyve got a much bigger problem than we do .,"housing,urban",housing,subjective
true,In nine Democratic debates Weve not had one question about a womans right to make her own decisions about reproductive health care not one question .,"abortion,debates",health,emotional
barely-true,The Manchin-Toomey amendment would have criminalized certain private transfers of firearms between honest citizens requiring lifelong friends neighbors and some family members to get government approval .,"corrections-and-updates,guns",politics,neutral
barely-true,McCain Trying to Have it Both Ways on Iraq,iraq,foreign policy,subjective
true,The budget submitted by Obama will add more to the debt than the outstanding debt of the previous 43 presidents combined .,"deficit,federal-budget",politics,the
half-true,I ve issued a six-month moratorium on deepwater drilling .,"energy,oil-spill",law,neutral
false,Toomey and Trump will ban abortion and punish women who have them .,abortion,politics,emotional
half-true,Tuition at Rutgers has increased 10 percent since Gov . Chris Christie took office because he cut funding for higher education .,"education,state-finances",education,emotional
barely-true,The reason we even have colleges is that at some point there were politicians who said You know what We should start colleges .,"education,history",politics,ironic
half-true,Capital Metro originally said MetroRails yearly operating costs would be about $2.5 million . Last year . it cost $13 million to operate .,"taxes,transportation",transportation,emotional
mostly-true,Providence has more of its pension fund invested in hedge funds and is less transparent about it than the state .,"city-budget,labor,pensions,retirement,state-budget,state-finances,transparency",economy,subjective
true,Says President John F. Kennedy released a star Green Bay Packer from military reserve duty so that he could play in the 1961 NFL Championship Game .,"history,military,sports",sports,subjective
barely-true,If the General Assembly does not address the states structural deficit more than 23000 education professionals will be immediately yanked out of Pennsylvania schools .,state-budget,education,emotional
half-true,Says he brought 1200 jobs to Texas by moving his factories here from China .,"economy,job-accomplishments",business,subjective
mostly-true,U.S. Rep . Paul Broun has not authored any legislation that has been adopted by Congress .,"congress,voting-record",politics,neutral
half-true,On recess appointments .,"foreign-policy,legal-issues,workers",business,neutral
pants-fire,Four years as a congressman he [U.S. Rep . Hank Johnson] never talked about MARTA .,transportation,transportation,neutral
true,Texas has the highest rate of uninsured in the nation . . And there are more uninsured children in Texas than in any other state .,health-care,health,subjective
false,Eighty percent of Wall Street executives and their spouses donations go to Democrats .,"campaign-finance,financial-regulation",politics,the
